item_code,item_name,unit,stats_data_id,field,kind,role,tier,group,col_name,notes,in_latest
C210719,C210719_事業所数（宿泊業、飲食サービス業）,所,0000020203,C,basic,x,A1,accommodation_food,estab_accommodation_food,宿泊・飲食サービス,yes
C220719,C220719_従業者数（宿泊業、飲食サービス業）,人,0000020203,C,basic,x,A1,accommodation_food,emp_accommodation_food,宿泊・飲食従業者,yes
C210708,C210708_事業所数（建設業）,所,0000020203,C,basic,x,A1,construction,estab_construction,建設業,yes
#H06132,#H06132_百貨店、総合スーパー数（人口10万人当たり）,店,0000020308,H,indicator,x,A1,department,shops_dept_per_100k,百貨・総合スーパー／10万人,yes
H6133,H6133_百貨店、総合スーパー数,事業所,0000020208,H,basic,x,A1,department,shops_dept,百貨・総合スーパー,yes
C2107,C2107_事業所数（経済センサス‐基礎調査結果）,事業所,0000020203,C,basic,x,A1,estab_all,estab_all,事業所数総数,yes
C210701,C210701_事業所数（公務を除く）,所,0000020203,C,basic,x,A1,estab_all,estab_ex_gov,事業所数（公務を除く）,yes
C2207,C2207_従業者数（経済センサス‐基礎調査結果）,人,0000020203,C,basic,x,A1,estab_all,emp_all,従業者総数,yes
C2111,C2111_第2次産業事業所数（経済センサス‐基礎調査結果）,所,0000020203,C,basic,x,A1,estab_secondary,estab_secondary,第2次産業事業所,yes
C2112,C2112_第3次産業事業所数（経済センサス‐基礎調査結果）,所,0000020203,C,basic,x,A1,estab_tertiary,estab_tertiary,第3次産業事業所,yes
#H06130,#H06130_飲食店数（人口千人当たり）,店,0000020308,H,indicator,x,A1,food,shops_restaurant_per_1000,飲食／千人（回帰優先）,yes
H6131,H6131_飲食店数（経済センサス-基礎調査結果）,事業所,0000020208,H,basic,x,A1,food,shops_restaurant,飲食店数,yes
C210720,C210720_事業所数（生活関連サービス業、娯楽業）,所,0000020203,C,basic,x,A1,lifestyle_entertainment,estab_lifestyle_entertainment,生活関連・娯楽,yes
C220720,C220720_従業者数（生活関連サービス業、娯楽業）,人,0000020203,C,basic,x,A1,lifestyle_entertainment,emp_lifestyle_entertainment,生活関連・娯楽従業者,yes
C210709,C210709_事業所数（製造業）,所,0000020203,C,basic,x,A1,manufacturing,estab_manufacturing,製造業＝工場代理,yes
C220709,C220709_従業者数（製造業）,人,0000020203,C,basic,x,A1,manufacturing,emp_manufacturing,製造業従業者,yes
C210722,C210722_事業所数（医療、福祉）,所,0000020203,C,basic,x,A1,medical_welfare,estab_medical_welfare,医療・福祉,yes
#H06127,#H06127_小売店数（人口千人当たり）,店,0000020308,H,indicator,x,A1,retail,shops_retail_per_1000,小売／千人（回帰優先）,yes
C210715,C210715_事業所数（小売業）,所,0000020203,C,basic,x,A1,retail,estab_retail_census,小売（センサス産業）,yes
C220715,C220715_従業者数（小売業）,人,0000020203,C,basic,x,A1,retail,emp_retail,小売従業者,yes
H6130,H6130_小売店数,事業所,0000020208,H,basic,x,A1,retail,shops_retail,小売店数,yes
#H06131,#H06131_大型小売店数（人口10万人当たり）,店,0000020308,H,indicator,x,A1,retail_large,shops_large_per_100k,大型／10万人,yes
H6132,H6132_大型小売店数（経済センサス‐基礎調査及び活動調査結果）,事業所,0000020208,H,basic,x,A1,retail_large,shops_large,大型小売,yes
C210713,C210713_事業所数（卸売業、小売業）,所,0000020203,C,basic,x,A1,wholesale_retail,estab_wholesale_retail,卸売・小売,yes
#A03504,#A03504_15歳未満人口割合,％,0000020301,A,indicator,x,A2,demography,share_under15,15歳未満割合,yes
#A03505,#A03505_15～64歳人口割合,％,0000020301,A,indicator,x,A2,demography,share_15_64,生産年齢割合,yes
#A03506,#A03506_65歳以上人口割合,％,0000020301,A,indicator,x,A2,demography,aging_rate,高齢化率（あれば）,yes
A1101,A1101_総人口,人,0000020201,A,basic,denominator,A2,population,pop_total,総人口。率の分母,yes
#A01202,#A01202_可住地面積１km2当たり人口密度,人,0000020301,A,indicator,x,A2,urbanization,density_habitable,可住地人口密度,yes
#A01302,#A01302_昼夜間人口比率,％,0000020301,A,indicator,x,A2,urbanization,day_night_ratio,昼夜間人口比,yes
#A01403,#A01403_人口集中地区人口密度（人口集中地区面積１km2当たり）,人,0000020301,A,indicator,x,A2,urbanization,did_density,DID人口密度,yes
E9101,E9101_最終学歴人口（卒業者総数）,人,0000020205,E,basic,x,A3,education,edu_grad_total,最終学歴人口総数,yes
E9102,E9102_最終学歴人口（小学校・中学校）,人,0000020205,E,basic,x,A3,education,edu_junior_high,小中卒,yes
E9103,E9103_最終学歴人口（高校・旧中）,人,0000020205,E,basic,x,A3,education,edu_high_school,高卒,yes
E9105,E9105_最終学歴人口（短大・高専）,人,0000020205,E,basic,x,A3,education,edu_college,短大高専,yes
E9106,E9106_最終学歴人口（大学・大学院）,人,0000020205,E,basic,x,A3,education,edu_university,大学・大学院卒,yes
